=== Sun Jul 27 11:23:20 PM EDT 2025 ===
Linux 6.8.0-63-generic (dewey-ubuntu) 	07/27/2025 	_x86_64_	(20 CPU)

11:23:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:05 PM   15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:05 PM   16   37.37    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   57.58
11:24:05 PM   17   49.49    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   47.47
11:24:05 PM   18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:05 PM   19    6.93    0.00    5.94    0.99    0.00    0.00    0.00    0.00    0.00   86.14

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   50.88    0.00    1.10    0.05    0.00    0.05    0.00    0.00    0.00   47.92
Average:       0   66.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   33.67
Average:       1   30.30    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   67.68
Average:       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       4   87.88    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.12
Average:       5   13.13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   86.87
Average:       6   97.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.02
Average:       7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:       8    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:       9   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      10   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      12   15.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
Average:      13   14.14    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   83.84
Average:      14  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      16   37.37    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   57.58
Average:      17   49.49    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   47.47
Average:      18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      19    6.93    0.00    5.94    0.99    0.00    0.00    0.00    0.00    0.00   86.14
=== Sun Jul 27 11:24:15 PM EDT 2025 ===
Linux 6.8.0-63-generic (dewey-ubuntu) 	07/27/2025 	_x86_64_	(20 CPU)

11:24:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:16 PM  all   51.70    0.00    1.35    0.05    0.00    0.00    0.00    0.00    0.00   46.89
11:24:16 PM    0    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:24:16 PM    1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:16 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
