"Wavelength, nm",MOP-1-2 NaCl whole,MOP-1-4 NaCl whole,MOP-2-2 NaCl whole,MOP-2-4 NaCl whole,MOP-3-2 NaCl whole,MOP-3-4 NaCl whole,MOP-3-6 NaCl whole,MOP-4-2 NaCl whole,MOP-4-3 NaCl whole,MCC-1A-3 NaCl whole,MCC-3-3 NaCl whole,MCC-3-6 NaCl whole,MCC-5-2 NaCl whole,MCC-5-4 NaCl whole,MCC-5-5 NaCl whole,MOP-1-2 PP-SPE,MOP-1-4 PP-SPE,MOP-2-2 PP-SPE,MOP-2-4 PP-SPE,MOP-3-2 PP-SPE,MOP-3-4 PP-SPE,MOP-3-6 PP-SPE,MOP-4-2 PP-SPE,MOP-4-3 PP-SPE,MCC-1A-3 PP-SPE,MCC-3-3 PP-SPE,MCC-3-6 PP-SPE,MCC-5-2 PP-SPE,MCC-5-4 PP-SPE,MCC-5-5 PP-SPE
241,2.174,1.546,3.149,1.062,2.433,2.141,2.320,3.283,1.283,3.006,2.950,4.245,1.830,1.354,1.329,7.114,6.241,6.270,6.545,7.289,7.274,8.304,7.253,5.931,6.102,5.479,6.576,6.767,7.518,7.801
242,2.144,1.513,3.108,1.043,2.399,2.107,2.285,3.238,1.257,2.966,2.912,4.196,1.801,1.338,1.312,7.041,6.168,6.207,6.475,7.218,7.192,8.212,7.165,5.863,6.040,5.417,6.504,6.688,7.434,7.708
243,2.112,1.482,3.062,1.018,2.364,2.075,2.242,3.181,1.242,2.917,2.870,4.135,1.777,1.306,1.302,6.965,6.087,6.133,6.396,7.137,7.102,8.108,7.069,5.791,5.969,5.344,6.414,6.601,7.343,7.601
244,2.084,1.461,3.028,1.012,2.334,2.053,2.211,3.146,1.236,2.882,2.832,4.089,1.744,1.298,1.282,6.883,6.022,6.076,6.335,7.072,7.032,8.027,6.987,5.729,5.915,5.288,6.350,6.535,7.270,7.519
245,2.057,1.424,2.991,0.994,2.306,2.022,2.181,3.102,1.208,2.845,2.799,4.040,1.731,1.281,1.264,6.827,5.959,6.021,6.273,7.010,6.962,7.946,6.912,5.672,5.858,5.231,6.274,6.466,7.195,7.432
246,2.032,1.404,2.957,0.971,2.279,1.997,2.160,3.059,1.190,2.808,2.761,3.992,1.707,1.267,1.241,6.767,5.901,5.967,6.215,6.955,6.899,7.872,6.845,5.619,5.805,5.179,6.210,6.401,7.124,7.355
247,2.008,1.371,2.924,0.953,2.253,1.973,2.122,3.013,1.177,2.767,2.719,3.945,1.671,1.251,1.229,6.706,5.843,5.916,6.157,6.898,6.830,7.795,6.779,5.564,5.755,5.123,6.146,6.341,7.053,7.279
248,1.983,1.349,2.891,0.928,2.229,1.934,2.074,2.967,1.159,2.727,2.684,3.894,1.616,1.217,1.196,6.659,5.789,5.868,6.104,6.843,6.772,7.729,6.712,5.515,5.705,5.071,6.084,6.282,6.986,7.195
249,1.967,1.354,2.867,0.939,2.209,1.934,2.076,2.945,1.144,2.711,2.665,3.867,1.647,1.211,1.186,6.607,5.747,5.831,6.058,6.800,6.729,7.675,6.663,5.476,5.666,5.031,6.036,6.237,6.941,7.148
250,1.941,1.319,2.830,0.903,2.183,1.904,2.034,2.892,1.124,2.670,2.619,3.813,1.618,1.197,1.179,6.565,5.687,5.785,6.005,6.748,6.667,7.605,6.602,5.426,5.615,4.976,5.967,6.171,6.867,7.071
251,1.921,1.301,2.804,0.885,2.162,1.880,2.008,2.851,1.116,2.639,2.592,3.774,1.594,1.184,1.158,6.515,5.642,5.743,5.957,6.705,6.620,7.551,6.552,5.387,5.572,4.929,5.919,6.125,6.813,7.010
252,1.903,1.288,2.778,0.871,2.143,1.861,1.985,2.814,1.106,2.612,2.558,3.735,1.570,1.168,1.143,6.485,5.602,5.712,5.918,6.664,6.578,7.505,6.507,5.351,5.536,4.891,5.871,6.081,6.762,6.957
253,1.889,1.275,2.758,0.857,2.127,1.843,1.970,2.783,1.090,2.588,2.533,3.704,1.559,1.154,1.131,6.451,5.572,5.686,5.887,6.638,6.543,7.469,6.477,5.327,5.511,4.857,5.830,6.047,6.724,6.915
254,1.870,1.250,2.731,0.839,2.107,1.817,1.943,2.740,1.065,2.558,2.497,3.663,1.526,1.132,1.108,6.412,5.535,5.651,5.846,6.600,6.504,7.422,6.435,5.292,5.471,4.819,5.785,6.004,6.677,6.862
255,1.855,1.240,2.709,0.844,2.089,1.804,1.924,2.713,1.059,2.534,2.475,3.636,1.526,1.128,1.101,6.385,5.501,5.627,5.816,6.568,6.471,7.390,6.402,5.266,5.444,4.786,5.749,5.969,6.637,6.819
256,1.838,1.227,2.682,0.828,2.071,1.782,1.903,2.672,1.041,2.508,2.452,3.591,1.495,1.120,1.088,6.356,5.461,5.595,5.780,6.535,6.433,7.349,6.363,5.231,5.408,4.747,5.698,5.927,6.587,6.770
257,1.818,1.212,2.658,0.819,2.052,1.768,1.871,2.643,1.029,2.483,2.421,3.550,1.470,1.100,1.078,6.318,5.424,5.567,5.738,6.503,6.392,7.305,6.327,5.200,5.374,4.705,5.651,5.890,6.550,6.723
258,1.800,1.192,2.631,0.798,2.032,1.753,1.861,2.608,1.039,2.454,2.395,3.504,1.466,1.091,1.065,6.291,5.386,5.539,5.704,6.466,6.358,7.256,6.290,5.171,5.342,4.667,5.608,5.850,6.504,6.680
259,1.781,1.173,2.602,0.783,2.008,1.722,1.827,2.554,1.016,2.420,2.357,3.457,1.437,1.067,1.043,6.247,5.348,5.504,5.663,6.426,6.318,7.217,6.251,5.137,5.302,4.622,5.560,5.808,6.458,6.630
260,1.761,1.160,2.574,0.769,1.987,1.702,1.818,2.519,0.995,2.395,2.326,3.430,1.428,1.041,1.020,6.213,5.306,5.474,5.622,6.387,6.275,7.177,6.210,5.098,5.270,4.585,5.514,5.766,6.411,6.581
261,1.745,1.150,2.547,0.778,1.967,1.700,1.802,2.495,1.003,2.371,2.301,3.396,1.409,1.049,1.025,6.177,5.269,5.445,5.590,6.354,6.240,7.140,6.178,5.071,5.238,4.551,5.465,5.730,6.370,6.539
262,1.720,1.125,2.512,0.751,1.940,1.665,1.766,2.440,0.972,2.333,2.262,3.344,1.380,1.027,0.993,6.135,5.221,5.402,5.542,6.309,6.189,7.085,6.124,5.033,5.189,4.501,5.413,5.679,6.313,6.481
263,1.697,1.107,2.476,0.735,1.914,1.644,1.745,2.394,0.967,2.299,2.227,3.297,1.356,1.007,0.975,6.093,5.170,5.363,5.493,6.266,6.142,7.033,6.081,4.989,5.149,4.453,5.354,5.629,6.261,6.425
264,1.674,1.092,2.442,0.735,1.888,1.627,1.726,2.357,0.959,2.268,2.197,3.251,1.344,0.996,0.970,6.040,5.119,5.320,5.442,6.215,6.088,6.978,6.031,4.949,5.103,4.404,5.288,5.579,6.206,6.368
265,1.650,1.069,2.406,0.710,1.859,1.592,1.698,2.305,0.939,2.232,2.154,3.200,1.309,0.974,0.942,5.988,5.069,5.275,5.393,6.166,6.032,6.920,5.978,4.907,5.052,4.352,5.235,5.526,6.147,6.304
266,1.625,1.052,2.370,0.703,1.831,1.571,1.679,2.265,0.923,2.198,2.123,3.153,1.289,0.960,0.927,5.926,5.013,5.228,5.341,6.110,5.980,6.863,5.926,4.861,5.006,4.301,5.168,5.470,6.085,6.247
267,1.598,1.034,2.330,0.692,1.800,1.549,1.650,2.213,0.911,2.157,2.080,3.099,1.263,0.938,0.907,5.862,4.953,5.176,5.281,6.050,5.919,6.794,5.865,4.810,4.952,4.243,5.097,5.408,6.022,6.178
268,1.579,1.019,2.301,0.685,1.777,1.531,1.631,2.184,0.903,2.130,2.061,3.062,1.250,0.932,0.902,5.832,4.907,5.135,5.236,5.999,5.873,6.740,5.817,4.771,4.909,4.199,5.048,5.363,5.972,6.125
269,1.552,1.000,2.262,0.671,1.746,1.507,1.610,2.143,0.895,2.100,2.024,3.010,1.221,0.906,0.877,5.761,4.847,5.079,5.173,5.933,5.802,6.674,5.757,4.721,4.854,4.143,4.976,5.302,5.904,6.055
270,1.529,0.983,2.228,0.665,1.721,1.483,1.595,2.101,0.885,2.068,1.990,2.965,1.208,0.899,0.862,5.712,4.792,5.031,5.120,5.876,5.750,6.611,5.704,4.675,4.807,4.090,4.919,5.251,5.848,6.001
271,1.505,0.968,2.190,0.649,1.691,1.470,1.578,2.071,0.875,2.040,1.960,2.924,1.194,0.891,0.859,5.636,4.728,4.976,5.061,5.818,5.684,6.542,5.638,4.624,4.750,4.036,4.852,5.192,5.784,5.933
272,1.481,0.959,2.152,0.651,1.663,1.448,1.561,2.034,0.872,2.009,1.928,2.878,1.179,0.875,0.852,5.581,4.665,4.916,4.997,5.745,5.620,6.468,5.571,4.570,4.696,3.982,4.785,5.135,5.719,5.871
273,1.456,0.939,2.116,0.637,1.634,1.426,1.536,1.997,0.864,1.980,1.895,2.833,1.155,0.857,0.832,5.503,4.602,4.862,4.933,5.676,5.550,6.397,5.507,4.515,4.637,3.927,4.721,5.076,5.651,5.807
274,1.434,0.922,2.084,0.628,1.607,1.402,1.515,1.962,0.844,1.948,1.867,2.793,1.144,0.843,0.822,5.447,4.544,4.809,4.877,5.617,5.490,6.333,5.449,4.468,4.591,3.879,4.660,5.019,5.593,5.742
275,1.413,0.912,2.052,0.628,1.583,1.388,1.498,1.936,0.847,1.924,1.842,2.759,1.124,0.835,0.814,5.383,4.488,4.757,4.826,5.557,5.434,6.268,5.392,4.422,4.541,3.833,4.604,4.967,5.538,5.688
276,1.396,0.897,2.025,0.619,1.562,1.370,1.485,1.911,0.836,1.906,1.823,2.726,1.108,0.827,0.809,5.339,4.443,4.714,4.775,5.501,5.385,6.212,5.343,4.384,4.500,3.792,4.554,4.922,5.489,5.636
277,1.373,0.884,1.991,0.617,1.537,1.353,1.468,1.885,0.834,1.877,1.796,2.689,1.097,0.819,0.799,5.265,4.380,4.655,4.715,5.438,5.318,6.142,5.277,4.329,4.446,3.742,4.496,4.870,5.422,5.573
278,1.353,0.871,1.962,0.608,1.514,1.336,1.456,1.857,0.826,1.851,1.772,2.655,1.080,0.804,0.781,5.215,4.329,4.607,4.663,5.381,5.264,6.080,5.221,4.286,4.398,3.698,4.442,4.819,5.374,5.520
279,1.336,0.860,1.936,0.603,1.492,1.317,1.445,1.846,0.821,1.834,1.755,2.622,1.075,0.802,0.784,5.152,4.282,4.557,4.617,5.326,5.211,6.027,5.176,4.245,4.362,3.659,4.395,4.776,5.326,5.468
